venue,innings,batting_team,bowling_team,striker,bowler,total_runs
Kingsmead,1,Deccan Chargers,Mumbai Indians,"['AC Gilchrist', 'HH Gibbs']","['SL Malinga', 'DJ Bravo', 'Z Khan', 'Harbhajan Singh']",54
Kingsmead,2,Mumbai Indians,Deccan Chargers,"['SR Tendulkar', 'JP Duminy', 'ST Jayasuriya']","['RP Singh', 'FH Edwards', 'Harmeet Singh']",47
St George's Park,1,Royal Challengers Bangalore,Delhi Daredevils,"['RV Uthappa', 'JH Kallis', 'LRPL Taylor', 'KP Pietersen']","['A Nehra', 'DP Nannes', 'PJ Sangwan']",44
St George's Park,2,Delhi Daredevils,Royal Challengers Bangalore,"['TM Dilshan', 'G Gambhir', 'AB de Villiers', 'V Sehwag']","['JH Kallis', 'R Vinay Kumar', 'Pankaj Singh']",41
Newlands,1,Kings XI Punjab,Rajasthan Royals,"['KC Sangakkara', 'RS Bopara', 'Yuvraj Singh']","['AD Mascarenhas', 'Kamran Khan', 'YK Pathan', 'MM Patel']",28
Newlands,2,Rajasthan Royals,Kings XI Punjab,"['AD Mascarenhas', 'RJ Quiney', 'SA Asnodkar', 'GC Smith', 'RA Jadeja', 'YK Pathan']","['VRV Singh', 'IK Pathan', 'RR Powar', 'YA Abdulla']",31
Kingsmead,1,Chennai Super Kings,Deccan Chargers,"['PA Patel', 'SK Raina', 'ML Hayden']","['Y Venugopal Rao', 'RP Singh', 'FH Edwards', 'DR Smith']",51
Kingsmead,2,Deccan Chargers,Chennai Super Kings,"['AC Gilchrist', 'HH Gibbs', 'VVS Laxman']","['M Muralitharan', 'L Balaji', 'JA Morkel', 'MS Gony', 'SK Raina']",65
St George's Park,1,Mumbai Indians,Kolkata Knight Riders,"['SR Tendulkar', 'ST Jayasuriya']","['I Sharma', 'AB Dinda', 'SC Ganguly']",50
St George's Park,2,Kolkata Knight Riders,Mumbai Indians,"['BB McCullum', 'CH Gayle', 'BJ Hodge', 'SC Ganguly']","['SL Malinga', 'DJ Bravo', 'Z Khan', 'Harbhajan Singh']",47
SuperSport Park,1,Delhi Daredevils,Rajasthan Royals,"['TM Dilshan', 'G Gambhir', 'AB de Villiers', 'V Sehwag']","['AD Mascarenhas', 'Kamran Khan', 'MM Patel']",38
SuperSport Park,2,Rajasthan Royals,Delhi Daredevils,"['GC Smith', 'RJ Quiney', 'PC Valthaty', 'SA Asnodkar']","['A Nehra', 'DP Nannes', 'PJ Sangwan']",32
Kingsmead,1,Kolkata Knight Riders,Royal Challengers Bangalore,"['BB McCullum', 'CH Gayle', 'BJ Hodge', 'SC Ganguly']","['RE van der Merwe', 'Pankaj Singh', 'P Kumar', 'KP Pietersen', 'A Kumble']",45
Kingsmead,2,Royal Challengers Bangalore,Kolkata Knight Riders,"['JH Kallis', 'SP Goswami']","['I Sharma', 'M Kartik', 'CH Gayle', 'AB Agarkar']",42
Kingsmead,1,Kings XI Punjab,Mumbai Indians,"['K Goel', 'RS Bopara', 'KC Sangakkara', 'Yuvraj Singh']","['SL Malinga', 'DJ Bravo', 'Z Khan', 'Harbhajan Singh']",22
Kingsmead,2,Mumbai Indians,Kings XI Punjab,"['SR Tendulkar', 'ST Jayasuriya', 'JP Duminy', 'S Dhawan', 'DJ Bravo']","['YA Abdulla', 'IK Pathan', 'VS Malik', 'RR Powar']",23
SuperSport Park,1,Deccan Chargers,Delhi Daredevils,"['AC Gilchrist', 'HH Gibbs', 'RG Sharma', 'AA Bilakhia']","['A Nehra', 'DP Nannes', 'PJ Sangwan']",35
SuperSport Park,2,Delhi Daredevils,Deccan Chargers,"['TM Dilshan', 'G Gambhir', 'AB de Villiers', 'V Sehwag']","['Shoaib Ahmed', 'RP Singh', 'FH Edwards']",37
SuperSport Park,1,Chennai Super Kings,Rajasthan Royals,"['S Badrinath', 'PA Patel', 'SK Raina', 'ML Hayden']","['AD Mascarenhas', 'YK Pathan']",40
SuperSport Park,2,Rajasthan Royals,Chennai Super Kings,"['RA Jadeja', 'GC Smith', 'RJ Quiney', 'SA Asnodkar']","['JA Morkel', 'JDP Oram', 'S Tyagi']",38
Buffalo Park,1,Mumbai Indians,Kolkata Knight Riders,"['SR Tendulkar', 'Harbhajan Singh', 'AM Nayar', 'ST Jayasuriya']","['I Sharma', 'M Kartik', 'LR Shukla', 'AB Dinda']",35
Buffalo Park,2,Kolkata Knight Riders,Mumbai Indians,"['MN van Wyk', 'CH Gayle', 'BJ Hodge', 'SC Ganguly']","['SL Malinga', 'GR Napier', 'Z Khan', 'Harbhajan Singh']",22
Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,"['R Bishnoi', 'JH Kallis', 'SP Goswami', 'JD Ryder']","['YA Abdulla', 'IK Pathan', 'VS Malik']",38
Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,"['K Goel', 'Yuvraj Singh']","['JH Kallis', 'P Kumar', 'JD Ryder']",35
St George's Park,1,Deccan Chargers,Rajasthan Royals,"['AC Gilchrist', 'HH Gibbs', 'AA Bilakhia']","['RA Jadeja', 'YK Pathan', 'SM Harwood', 'MM Patel']",39
St George's Park,2,Rajasthan Royals,Deccan Chargers,"['GC Smith', 'SA Asnodkar', 'LA Carseldine', 'RA Jadeja', 'NV Ojha']","['RP Singh', 'FH Edwards', 'DR Smith']",29
New Wanderers Stadium,1,Chennai Super Kings,Delhi Daredevils,"['M Vijay', 'SK Raina', 'ML Hayden']","['A Nehra', 'DP Nannes', 'PJ Sangwan']",47
New Wanderers Stadium,2,Delhi Daredevils,Chennai Super Kings,"['TM Dilshan', 'DA Warner', 'G Gambhir', 'AB de Villiers']","['JA Morkel', 'S Tyagi']",47
St George's Park,1,Kolkata Knight Riders,Kings XI Punjab,"['BB McCullum', 'CH Gayle', 'BJ Hodge']","['VS Malik', 'IK Pathan', 'RR Powar', 'YA Abdulla']",27
St George's Park,2,Kings XI Punjab,Kolkata Knight Riders,"['KC Sangakkara', 'DPMD Jayawardene', 'SM Katich', 'S Sohal']","['I Sharma', 'CH Gayle', 'AB Agarkar', 'AB Dinda']",50
New Wanderers Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"['SR Tendulkar', 'ST Jayasuriya', 'JP Duminy', 'DJ Bravo', 'AM Rahane']","['JH Kallis', 'P Kumar', 'D du Preez']",24
New Wanderers Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"['W Jaffer', 'JH Kallis', 'RV Uthappa']","['SL Malinga', 'DJ Bravo', 'AM Nayar', 'Z Khan']",51
Buffalo Park,1,Chennai Super Kings,Deccan Chargers,"['M Vijay', 'ML Hayden']","['RJ Harris', 'RP Singh', 'RG Sharma', 'DR Smith']",52
Buffalo Park,2,Deccan Chargers,Chennai Super Kings,"['AC Gilchrist', 'RG Sharma', 'DR Smith', 'VVS Laxman', 'HH Gibbs']","['JA Morkel', 'L Balaji', 'S Tyagi']",51
Kingsmead,1,Rajasthan Royals,Kings XI Punjab,"['GC Smith', 'NV Ojha']","['S Sreesanth', 'IK Pathan', 'RR Powar', 'YA Abdulla']",55
Kingsmead,2,Kings XI Punjab,Rajasthan Royals,"['S Sohal', 'K Goel', 'KC Sangakkara', 'DPMD Jayawardene', 'SM Katich']","['A Singh', 'SK Trivedi', 'YK Pathan', 'SM Harwood']",29
Kingsmead,1,Kolkata Knight Riders,Delhi Daredevils,"['BB McCullum', 'MN van Wyk']","['A Nehra', 'PJ Sangwan', 'DP Nannes', 'A Mishra']",49
Kingsmead,2,Delhi Daredevils,Kolkata Knight Riders,"['DA Warner', 'G Gambhir']","['I Sharma', 'BJ Hodge', 'MC Henriques', 'AB Dinda']",57
SuperSport Park,1,Deccan Chargers,Mumbai Indians,"['AC Gilchrist', 'HH Gibbs', 'TL Suman', 'RG Sharma']","['SL Malinga', 'DS Kulkarni', 'DJ Bravo', 'Harbhajan Singh']",37
SuperSport Park,2,Mumbai Indians,Deccan Chargers,"['SR Tendulkar', 'JP Duminy', 'ST Jayasuriya', 'PR Shah']","['RJ Harris', 'RP Singh', 'Harmeet Singh', 'DR Smith']",37
SuperSport Park,1,Royal Challengers Bangalore,Rajasthan Royals,"['W Jaffer', 'JH Kallis', 'RV Uthappa', 'R Dravid']","['A Singh', 'MM Patel', 'M Morkel', 'LA Carseldine']",29
SuperSport Park,2,Rajasthan Royals,Royal Challengers Bangalore,"['GC Smith', 'NV Ojha', 'LA Carseldine']","['JH Kallis', 'P Kumar', 'D du Preez']",31
SuperSport Park,1,Chennai Super Kings,Kings XI Punjab,"['S Badrinath', 'SK Raina', 'ML Hayden']","['S Sreesanth', 'IK Pathan', 'YA Abdulla', 'VRV Singh']",56
SuperSport Park,2,Kings XI Punjab,Chennai Super Kings,"['K Goel', 'SM Katich', 'S Sohal']","['M Muralitharan', 'JA Morkel', 'MS Gony', 'S Tyagi']",52
Buffalo Park,1,Mumbai Indians,Delhi Daredevils,"['JP Duminy', 'SR Tendulkar', 'L Ronchi', 'PR Shah']","['A Nehra', 'DP Nannes', 'PJ Sangwan']",26
Buffalo Park,2,Delhi Daredevils,Mumbai Indians,"['DA Warner', 'G Gambhir']","['SL Malinga', 'DS Kulkarni']",30
De Beers Diamond Oval,1,Deccan Chargers,Kings XI Punjab,"['AC Gilchrist', 'HH Gibbs', 'TL Suman']","['S Sreesanth', 'B Lee', 'IK Pathan']",51
De Beers Diamond Oval,2,Kings XI Punjab,Deccan Chargers,"['SM Katich', 'KC Sangakkara', 'S Sohal', 'Yuvraj Singh']","['RJ Harris', 'Shoaib Ahmed', 'RP Singh', 'RG Sharma', 'Y Venugopal Rao']",44
De Beers Diamond Oval,1,Rajasthan Royals,Chennai Super Kings,"['GC Smith', 'NV Ojha', 'SA Asnodkar']","['JA Morkel', 'L Balaji', 'JDP Oram', 'S Tyagi']",34
De Beers Diamond Oval,2,Chennai Super Kings,Rajasthan Royals,"['M Vijay', 'SK Raina', 'ML Hayden']","['A Singh', 'SK Trivedi', 'YK Pathan', 'SM Harwood']",37
St George's Park,1,Mumbai Indians,Royal Challengers Bangalore,"['SR Tendulkar', 'AM Rahane', 'ST Jayasuriya']","['A Mithun', 'JH Kallis', 'R Vinay Kumar']",39
St George's Park,2,Royal Challengers Bangalore,Mumbai Indians,"['RV Uthappa', 'JH Kallis', 'V Kohli', 'LRPL Taylor']","['SL Malinga', 'DS Kulkarni', 'DJ Bravo']",35
New Wanderers Stadium,1,Kolkata Knight Riders,Delhi Daredevils,"['Yashpal Singh', 'MN van Wyk', 'SC Ganguly', 'BB McCullum', 'BJ Hodge']","['A Nehra', 'DP Nannes', 'PJ Sangwan']",32
New Wanderers Stadium,2,Delhi Daredevils,Kolkata Knight Riders,"['DA Warner', 'G Gambhir']","['SS Sarkar', 'MC Henriques', 'I Sharma', 'BJ Hodge', 'AB Agarkar']",47
De Beers Diamond Oval,1,Deccan Chargers,Rajasthan Royals,"['AC Gilchrist', 'TL Suman', 'RG Sharma']","['M Morkel', 'SK Trivedi', 'YK Pathan', 'MM Patel']",36
De Beers Diamond Oval,2,Rajasthan Royals,Deccan Chargers,"['LA Carseldine', 'GC Smith', 'NV Ojha', 'SA Asnodkar']","['A Symonds', 'WPUJC Vaas', 'RP Singh']",29
SuperSport Park,1,Kolkata Knight Riders,Royal Challengers Bangalore,"['BB McCullum', 'AN Ghosh', 'DJ Hussey', 'SC Ganguly']","['JH Kallis', 'R Vinay Kumar']",38
SuperSport Park,2,Royal Challengers Bangalore,Kolkata Knight Riders,"['JH Kallis', 'JD Ryder']","['AD Mathews', 'DJ Hussey', 'I Sharma', 'BAW Mendis', 'AB Agarkar']",41
SuperSport Park,1,Kings XI Punjab,Mumbai Indians,"['S Sohal', 'IK Pathan', 'KC Sangakkara', 'SM Katich', 'Yuvraj Singh']","['SL Malinga', 'DS Kulkarni', 'DJ Bravo']",37
SuperSport Park,2,Mumbai Indians,Kings XI Punjab,"['SR Tendulkar', 'AM Rahane', 'DJ Bravo', 'ST Jayasuriya']","['S Sreesanth', 'B Lee', 'IK Pathan', 'PP Chawla']",42
Kingsmead,1,Delhi Daredevils,Deccan Chargers,"['TM Dilshan', 'DA Warner', 'G Gambhir']","['A Symonds', 'WPUJC Vaas', 'Shoaib Ahmed', 'RP Singh']",51
Kingsmead,2,Deccan Chargers,Delhi Daredevils,"['AC Gilchrist', 'TL Suman', 'RG Sharma', 'DB Ravi Teja']","['A Nehra', 'DP Nannes', 'PJ Sangwan']",50
Kingsmead,1,Chennai Super Kings,Royal Challengers Bangalore,"['M Vijay', 'SK Raina', 'MS Dhoni', 'ML Hayden']","['A Kumble', 'R Vinay Kumar', 'P Kumar', 'JH Kallis']",51
Kingsmead,2,Royal Challengers Bangalore,Chennai Super Kings,"['JH Kallis', 'RV Uthappa', 'R Dravid', 'V Kohli', 'LRPL Taylor']","['JA Morkel', 'L Balaji', 'S Tyagi']",29
Kingsmead,1,Rajasthan Royals,Mumbai Indians,"['GC Smith', 'RJ Quiney']","['SL Malinga', 'JP Duminy', 'DS Kulkarni', 'DJ Bravo']",42
Kingsmead,2,Mumbai Indians,Rajasthan Royals,"['SR Tendulkar', 'ST Jayasuriya', 'DJ Bravo', 'AM Rahane', 'YV Takawale']","['SK Warne', 'SK Trivedi', 'YK Pathan', 'MM Patel']",26
OUTsurance Oval,1,Delhi Daredevils,Kings XI Punjab,"['TM Dilshan', 'G Gambhir', 'AB de Villiers', 'V Sehwag']","['S Sreesanth', 'B Lee', 'IK Pathan', 'PP Chawla']",37
OUTsurance Oval,2,Kings XI Punjab,Delhi Daredevils,"['S Sohal', 'KC Sangakkara', 'SM Katich', 'LA Pomersbach', 'Yuvraj Singh']","['A Nehra', 'MF Maharoof', 'PJ Sangwan']",32
St George's Park,1,Mumbai Indians,Chennai Super Kings,"['JP Duminy', 'DJ Bravo', 'ST Jayasuriya']","['JA Morkel', 'S Tyagi']",42
St George's Park,2,Chennai Super Kings,Mumbai Indians,"['S Badrinath', 'PA Patel', 'SK Raina', 'ML Hayden']","['SL Malinga', 'DS Kulkarni', 'DJ Bravo']",35
New Wanderers Stadium,1,Kolkata Knight Riders,Deccan Chargers,"['BB McCullum', 'BJ Hodge', 'SC Ganguly']","['A Symonds', 'RJ Harris', 'RP Singh']",30
New Wanderers Stadium,2,Deccan Chargers,Kolkata Knight Riders,"['AC Gilchrist', 'HH Gibbs']","['I Sharma', 'M Kartik', 'Mashrafe Mortaza', 'BJ Hodge']",46
New Wanderers Stadium,1,Kings XI Punjab,Deccan Chargers,"['S Sohal', 'KC Sangakkara', 'SM Katich', 'LA Pomersbach', 'Yuvraj Singh']","['A Symonds', 'RJ Harris', 'RP Singh']",38
New Wanderers Stadium,2,Deccan Chargers,Kings XI Punjab,"['AC Gilchrist', 'HH Gibbs', 'TL Suman', 'A Symonds']","['S Sreesanth', 'B Lee', 'IK Pathan', 'RR Powar']",46
OUTsurance Oval,1,Delhi Daredevils,Rajasthan Royals,"['TM Dilshan', 'G Gambhir', 'AB de Villiers', 'V Sehwag']","['A Singh', 'SK Trivedi', 'MM Patel']",34
OUTsurance Oval,2,Rajasthan Royals,Delhi Daredevils,"['J Botha', 'GC Smith', 'RJ Quiney', 'NV Ojha']","['A Nehra', 'MF Maharoof', 'AM Salvi', 'DP Nannes']",24
SuperSport Park,1,Chennai Super Kings,Kolkata Knight Riders,"['PA Patel', 'GJ Bailey']","['AB Dinda', 'M Kartik', 'Anureet Singh', 'BJ Hodge', 'AB Agarkar']",48
SuperSport Park,2,Kolkata Knight Riders,Chennai Super Kings,"['BB McCullum', 'BJ Hodge', 'SC Ganguly']","['M Muralitharan', 'JA Morkel', 'S Tyagi']",56
New Wanderers Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"['G Gambhir', 'AB de Villiers', 'M Manhas', 'V Sehwag']","['JH Kallis', 'B Akhil', 'P Kumar']",37
New Wanderers Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"['RV Uthappa', 'JH Kallis', 'R Dravid']","['A Nehra', 'MF Maharoof', 'AM Salvi']",27
Kingsmead,1,Rajasthan Royals,Kolkata Knight Riders,"['RJ Quiney', 'Niraj Patel', 'J Botha', 'SA Asnodkar', 'YK Pathan', 'NV Ojha']","['AB Dinda', 'BJ Hodge', 'AB Agarkar', 'CK Langeveldt']",46
Kingsmead,2,Kolkata Knight Riders,Rajasthan Royals,"['Yashpal Singh', 'SC Ganguly', 'DJ Hussey', 'BB McCullum', 'BJ Hodge']","['A Singh', 'MM Patel']",29
Kingsmead,1,Chennai Super Kings,Kings XI Punjab,"['PA Patel', 'GJ Bailey', 'SK Raina']","['S Sreesanth', 'B Lee', 'IK Pathan', 'RR Powar']",50
Kingsmead,2,Kings XI Punjab,Chennai Super Kings,"['SM Katich', 'S Sohal', 'LA Pomersbach']","['M Muralitharan', 'T Thushara', 'MS Gony', 'R Ashwin']",29
SuperSport Park,1,Mumbai Indians,Delhi Daredevils,"['SR Tendulkar', 'ST Jayasuriya', 'JP Duminy', 'Mohammad Ashraful', 'AM Rahane']","['AM Salvi', 'DP Nannes', 'PJ Sangwan']",27
SuperSport Park,2,Delhi Daredevils,Mumbai Indians,"['DA Warner', 'G Gambhir', 'V Sehwag']","['SL Malinga', 'DS Kulkarni', 'RA Shaikh']",60
SuperSport Park,1,Royal Challengers Bangalore,Deccan Chargers,"['RE van der Merwe', 'MK Pandey', 'JH Kallis']","['A Symonds', 'RJ Harris', 'RP Singh']",33
SuperSport Park,2,Deccan Chargers,Royal Challengers Bangalore,"['AC Gilchrist', 'HH Gibbs']","['RE van der Merwe', 'A Kumble', 'P Kumar', 'JH Kallis']",64
SuperSport Park,1,Delhi Daredevils,Deccan Chargers,"['TM Dilshan', 'DA Warner', 'G Gambhir', 'V Sehwag']","['RJ Harris', 'RP Singh', 'PP Ojha']",43
SuperSport Park,2,Deccan Chargers,Delhi Daredevils,"['AC Gilchrist', 'HH Gibbs', 'AA Bilakhia']","['TM Dilshan', 'DP Nannes', 'V Sehwag', 'A Nehra', 'PJ Sangwan']",76
New Wanderers Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"['PA Patel', 'ML Hayden']","['JH Kallis', 'R Vinay Kumar', 'P Kumar', 'A Kumble']",52
New Wanderers Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"['RE van der Merwe', 'MK Pandey', 'JH Kallis', 'R Dravid']","['JA Morkel', 'SB Jakati', 'MS Gony']",58
New Wanderers Stadium,1,Deccan Chargers,Royal Challengers Bangalore,"['AC Gilchrist', 'HH Gibbs', 'TL Suman', 'A Symonds']","['A Kumble', 'R Vinay Kumar', 'P Kumar', 'JH Kallis']",28
New Wanderers Stadium,2,Royal Challengers Bangalore,Deccan Chargers,"['RE van der Merwe', 'MK Pandey', 'JH Kallis']","['A Symonds', 'RJ Harris', 'RP Singh']",35
Dr DY Patil Sports Academy,1,Kolkata Knight Riders,Deccan Chargers,"['CA Pujara', 'AD Mathews', 'SC Ganguly', 'MK Tiwary', 'BJ Hodge']","['WPUJC Vaas', 'RP Singh', 'Jaskaran Singh']",38
Dr DY Patil Sports Academy,2,Deccan Chargers,Kolkata Knight Riders,"['AC Gilchrist', 'VVS Laxman']","['I Sharma', 'M Kartik', 'LR Shukla', 'CK Langeveldt']",57
Brabourne Stadium,1,Mumbai Indians,Rajasthan Royals,"['SR Tendulkar', 'AP Tare', 'ST Jayasuriya']","['AD Mascarenhas', 'SW Tait', 'Kamran Khan', 'A Uniyal']",63
Brabourne Stadium,2,Rajasthan Royals,Mumbai Indians,"['AA Jhunjhunwala', 'GC Smith', 'NV Ojha']","['SL Malinga', 'AG Murtaza', 'Z Khan', 'R McLaren']",39
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Delhi Daredevils,"['MS Bisla', 'RS Bopara', 'KC Sangakkara', 'Yuvraj Singh']","['MF Maharoof', 'DP Nannes', 'PJ Sangwan']",42
"Punjab Cricket Association Stadium, Mohali",2,Delhi Daredevils,Kings XI Punjab,"['TM Dilshan', 'G Gambhir', 'AB de Villiers', 'V Sehwag']","['S Sreesanth', 'IK Pathan']",38
Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,"['MK Pandey', 'JH Kallis', 'V Kohli', 'SP Goswami']","['I Sharma', 'M Kartik', 'AD Mathews', 'CK Langeveldt']",24
Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,"['MK Tiwary', 'BJ Hodge']","['JH Kallis', 'DW Steyn', 'P Kumar', 'A Kumble']",61
"MA Chidambaram Stadium, Chepauk",1,Deccan Chargers,Chennai Super Kings,"['AC Gilchrist', 'HH Gibbs', 'A Symonds', 'VVS Laxman']","['M Muralitharan', 'JA Morkel', 'S Tyagi', 'R Ashwin']",57
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Deccan Chargers,"['M Vijay', 'JM Kemp', 'S Badrinath', 'SK Raina', 'MS Dhoni', 'ML Hayden']","['WPUJC Vaas', 'RP Singh', 'RG Sharma', 'PP Ojha']",34
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Delhi Daredevils,"['SA Asnodkar', 'GC Smith', 'YK Pathan', 'NV Ojha']","['MF Maharoof', 'DP Nannes', 'A Mishra']",43
"Sardar Patel Stadium, Motera",2,Delhi Daredevils,Rajasthan Royals,"['TM Dilshan', 'G Gambhir', 'AB de Villiers', 'V Sehwag']","['AD Mascarenhas', 'SW Tait', 'MM Patel']",59
M Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"['MS Bisla', 'RS Bopara']","['JH Kallis', 'DW Steyn', 'P Kumar']",47
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,"['MK Pandey', 'JH Kallis']","['S Sreesanth', 'IK Pathan', 'YA Abdulla']",60
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"['M Vijay', 'SK Raina', 'ML Hayden']","['I Sharma', 'SE Bond', 'LR Shukla', 'AD Mathews']",31
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"['SC Ganguly', 'WP Saha', 'MK Tiwary', 'BJ Hodge', 'OA Shah']","['JA Morkel', 'L Balaji', 'MS Gony']",45
Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,"['SR Tendulkar', 'AP Tare', 'ST Jayasuriya']","['MF Maharoof', 'S Ladda', 'DP Nannes', 'PJ Sangwan']",66
Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,"['TM Dilshan', 'AB de Villiers', 'V Sehwag']","['SL Malinga', 'DJ Bravo', 'Z Khan', 'KA Pollard']",55
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"['MJ Lumb', 'DR Martyn', 'NV Ojha']","['R Vinay Kumar', 'DW Steyn', 'P Kumar', 'JH Kallis']",29
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"['MK Pandey', 'JH Kallis']","['M Morkel', 'MM Patel', 'SK Warne']",49
Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,"['TM Dilshan', 'DA Warner', 'V Sehwag']","['Joginder Sharma', 'JA Morkel', 'L Balaji', 'R Ashwin']",48
Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,"['S Badrinath', 'PA Patel', 'ML Hayden']","['PJ Sangwan', 'R Bhatia', 'DP Nannes', 'UT Yadav']",54
Barabati Stadium,1,Deccan Chargers,Kings XI Punjab,"['AC Gilchrist', 'HH Gibbs', 'A Symonds', 'VVS Laxman']","['S Sreesanth', 'SJ Srivastava', 'IK Pathan', 'PP Chawla']",52
Barabati Stadium,2,Kings XI Punjab,Deccan Chargers,"['MS Bisla', 'KC Sangakkara', 'RS Bopara', 'DPMD Jayawardene', 'Yuvraj Singh']","['A Symonds', 'WPUJC Vaas', 'RP Singh']",27
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kolkata Knight Riders,"['MJ Lumb', 'AA Jhunjhunwala', 'FY Fazal', 'NV Ojha']","['AB Dinda', 'SE Bond', 'AD Mathews', 'I Sharma']",55
"Sardar Patel Stadium, Motera",2,Kolkata Knight Riders,Rajasthan Royals,"['MK Tiwary', 'BJ Hodge', 'CA Pujara']","['SK Trivedi', 'SW Tait', 'YK Pathan', 'MM Patel']",38
Brabourne Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"['SR Tendulkar', 'SS Tiwary', 'AP Tare', 'ST Jayasuriya']","['JH Kallis', 'DW Steyn', 'P Kumar', 'R Vinay Kumar']",36
Brabourne Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"['MK Pandey', 'JH Kallis']","['SL Malinga', 'DJ Bravo', 'Z Khan', 'KA Pollard']",55
Barabati Stadium,1,Deccan Chargers,Delhi Daredevils,"['AC Gilchrist', 'HH Gibbs', 'MD Mishra', 'A Symonds']","['S Ladda', 'DP Nannes', 'A Mishra', 'Y Nagar']",46
Barabati Stadium,2,Delhi Daredevils,Deccan Chargers,"['DA Warner', 'AB de Villiers', 'V Sehwag']","['WPUJC Vaas', 'RP Singh', 'RG Sharma', 'PP Ojha']",48
"MA Chidambaram Stadium, Chepauk",1,Kings XI Punjab,Chennai Super Kings,"['KC Sangakkara', 'RS Bopara', 'IK Pathan']","['JA Morkel', 'L Balaji', 'MS Gony', 'R Ashwin']",38
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kings XI Punjab,"['PA Patel', 'ML Hayden']","['J Theron', 'SJ Srivastava', 'IK Pathan', 'RR Powar']",38
"MA Chidambaram Stadium, Chepauk",3,Chennai Super Kings,Kings XI Punjab,"['JA Morkel', 'SK Raina', 'ML Hayden']",['J Theron'],9
"MA Chidambaram Stadium, Chepauk",4,Kings XI Punjab,Chennai Super Kings,"['DPMD Jayawardene', 'Yuvraj Singh']",['M Muralitharan'],10
Brabourne Stadium,1,Kolkata Knight Riders,Mumbai Indians,"['CH Gayle', 'SC Ganguly']","['SL Malinga', 'DJ Bravo', 'Z Khan', 'R McLaren']",36
Brabourne Stadium,2,Mumbai Indians,Kolkata Knight Riders,"['SR Tendulkar', 'S Dhawan']","['I Sharma', 'SE Bond', 'CH Gayle']",55
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"['MK Pandey', 'JH Kallis', 'R Dravid']","['JA Morkel', 'L Balaji', 'S Tyagi']",38
M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"['PA Patel', 'GJ Bailey', 'ML Hayden']","['A Kumble', 'DW Steyn', 'P Kumar', 'JH Kallis']",26
"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Kings XI Punjab,"['MJ Lumb', 'FY Fazal', 'NV Ojha']","['S Sreesanth', 'SJ Srivastava', 'IK Pathan']",53
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Rajasthan Royals,"['KC Sangakkara', 'RS Bopara', 'MS Bisla']","['SK Warne', 'SW Tait', 'MM Patel']",74
Brabourne Stadium,1,Chennai Super Kings,Mumbai Indians,"['S Badrinath', 'PA Patel', 'SK Raina', 'ML Hayden']","['DJ Bravo', 'R McLaren', 'Z Khan', 'Harbhajan Singh']",45
Brabourne Stadium,2,Mumbai Indians,Chennai Super Kings,"['SR Tendulkar', 'S Dhawan']","['JA Morkel', 'L Balaji', 'Joginder Sharma']",58
"Sardar Patel Stadium, Motera",1,Deccan Chargers,Rajasthan Royals,"['AC Gilchrist', 'HH Gibbs', 'A Symonds', 'VVS Laxman']","['S Narwal', 'AA Jhunjhunwala', 'SK Trivedi', 'SW Tait']",48
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Deccan Chargers,"['MJ Lumb', 'NV Ojha']","['WPUJC Vaas', 'RP Singh', 'RG Sharma', 'R Sharma']",54
